Group,N_total,tf,at_risk,events,fraction_frozen,S_T,FF_CI_lower,FF_CI_upper,K,K_CI_lower,K_CI_upper
Handling_blank,41,-28.17,23,1,0.4634146341463415,0.5365853658536585,0.32577597747861176,0.625862079868684,0.6225296133459919,0.39419284566686463,0.9831307791421107
Handling_blank,41,-28.45,22,1,0.4878048780487805,0.5121951219512194,0.3482571172382005,0.6485196783452256,0.6690496289808848,0.4281051464248537,1.0456015532110237
Handling_blank,41,-28.89,21,1,0.5121951219512195,0.48780487804878037,0.3710650267487251,0.670836323589747,0.7178397931503169,0.4637274087844423,1.1112001552395145
Handling_blank,41,-28.92,20,1,0.5365853658536586,0.4634146341463413,0.39419946658556815,0.692809775330173,0.7691330875378675,0.5012044998769549,1.1802880989511504
Handling_blank,41,-29.19,19,1,0.5609756097560976,0.43902439024390233,0.41766234213717,0.7144356161910698,0.8232003088081432,0.5407048313339818,1.2532877628445809
Handling_blank,41,-29.41,18,1,0.5853658536585366,0.4146341463414633,0.44145777123091956,0.7357071107538157,0.8803587226480917,0.5824250522854506,1.330697361834518
Handling_blank,41,-29.48,17,1,0.6097560975609756,0.39024390243902424,0.46559222870769834,0.7566149856661448,0.9409833444645266,0.6265961147765484,1.4131106683855015
Handling_blank,41,-29.61,16,1,0.6341463414634146,0.36585365853658525,0.4900747796527426,0.7771471131314591,1.0055218656020977,0.6734911907846048,1.5012434253609774
Handling_blank,41,-29.77,15,1,0.6585365853658537,0.34146341463414626,0.5149174211007936,0.7972880709765894,1.0745147370890493,0.7234361367666656,1.5959693766223124
Handling_blank,41,-29.9,14,1,0.6829268292682927,0.31707317073170727,0.5401355632374092,0.8170185390709331,1.1486227092427712,0.7768235356223876,1.6983704376710975
Handling_blank,41,-30.03,13,1,0.7073170731707317,0.2926829268292683,0.5657486975613744,0.8363144713677071,1.2286654169163074,0.83413187458246,1.80980820027024
Handling_blank,41,-30.16,12,1,0.7317073170731707,0.26829268292682923,0.591781324721728,0.8551459503890755,1.3156767939059373,0.8959522793386681,1.9320285978850549
Handling_blank,41,-30.3,11,1,0.7560975609756098,0.2439024390243902,0.6182642549876004,0.8734755777214858,1.410986973710262,0.9630266767399922,2.067319927958302
Handling_blank,41,-30.7,10,1,0.7804878048780488,0.2195121951219512,0.6452364606704226,0.8912561632002598,1.5163474893680886,1.036303797836378,2.218760283725162
